Gate: Jieitai Kanochi nite, Kaku Tatakaeri	7.7	6.610158276427929
Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2	7.73	6.610158276427929
Genjitsu Shugi Yuusha no Oukoku Saikenki	7.23	4.665237414641893
Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2	7.45	4.165237414641893
Given	8.34	7.150995423506142
Golden Time	7.74	5.951564236938224
Great Teacher Onizuka	8.69	7.330474829283785
Grisaia no Kajitsu	7.49	4.443491609761263
Grisaia no Meikyuu: Caprice no Mayu 0	7.85	5.732189931713515
Grisaia no Meikyuu: Caprice no Mayu 0 - Takizono Basketball Club no Nama Cream Party!	7.24	3.5536498861891905
Grisaia no Rakuen	7.78	6.132189931713515
Guilty Crown	7.43	5.094421379795367
Hachi-nan tte, Sore wa Nai deshou!	6.25	4.830474829283785
Hagure Yuusha no Aesthetica	6.76	4.5536498861891905
Hai to Gensou no Grimgar	7.65	4.915237414641893
Haikyuu!!	8.45	7.366094965856757
Hanamonogatari	7.94	6.766094965856757
Hataraku Maou-sama!	7.77	6.743149973735967
Hibike! Euphonium	8	7.471745804880631
Hige wo Soru. Soshite Joshikousei wo Hirou.	7.29	6.732189931713515
High School DxD	7.34	6.766094965856757
High School DxD BorN	7.43	6.732189931713515
High School DxD New	7.49	6.932189931713515
High School DxD Specials	7.27	5.915237414641893
Highschool of the Dead	7.08	5.380135665509653
Hinamatsuri (TV)	8.15	7.740105517618619
Horimiya	8.2	7.353809353660473
Hotarubi no Mori e	8.3	7.050842281428276
Hunter x Hunter	8.4	7.776824943094595
Hunter x Hunter (2011)	9.04	8.978809353660473
Hyouka	8.09	6.766094965856757
Ichiban Ushiro no Daimaou	6.76	5.415237414641893
Ijiranaide, Nagatoro-san	7.35	6.665237414641893
Inu to Hasami wa Tsukaiyou	6.55	3.9152374146418927
IS: Infinite Stratos	6.64	4.707618707320947
Isekai Maou to Shoukan Shoujo no Dorei Majutsu	6.88	5.2372785226525105
Isekai Maou to Shoukan Shoujo no Dorei Majutsu É∂	6.72	4.943491609761262
Isekai no Seikishi Monogatari	7.76	6.886983219522524
Isekai Shokudou	7.38	5.132189931713515
Isekai wa Smartphone to Tomo ni.	6.15	3.1101582764279287
Jaku-Chara Tomozaki-kun	7.13	7.165237414641893
JoJo no Kimyou na Bouken (TV)	7.91	6.605540878051597
